CheeseyPizza,233
IceCream,16765
HerbSpiceTopping,15785
SloppyGiuseppe,56375795
CheeseyVegetableTopping,1208187143
FruitTopping,14245
Hot,2802
032058d5-043d-42f7-a4c8-349da3015cb2,199
MushroomTopping,7363895
UnclosedPizza,52556105
b9972a33-b64d-4988-a38e-845d7e3f9ab5,449
906f6fdc-f024-4e23-85d1-2fc34823077f,149
971dbc3e-4ca5-4553-9676-dd6faa2fdc7b,229
Spiciness,6
America,4367
Italy,1267
ThinAndCrispyBase,113155
PrawnsTopping,3265955
CheeseTopping,11165
30b0f6fb-b9aa-43ce-91d2-e9cf5937aa2d,151
ChickenTopping,3723335
1ff90b59-1afa-4d4d-9f89-c09c5b529ded,139
f4d47633-8aab-4f93-bc66-ed5bc25a90c9,197
CaperTopping,7172935
American,46614365
Margherita,53121985
54c57afa-e3f8-4288-87dd-f22277f0ff64,163
03428e03-7538-48be-b992-d3de0fb395a5,269
58c5a84b-1337-4ab8-80bf-392e9b318cec,263
40a5c7b6-c6ee-475f-896d-058bd8c3e13f,383
FourCheesesTopping,6107255
PepperTopping,871255
MeatTopping,7315
73a1e4b0-a60b-4708-9d0b-41f9f89a5b35,241
MeatyPizza,421
Mild,2766
Siciliana,47604655
ParmesanTopping,6442205
VegetarianPizza,439
SpicyPizzaEquivalent,191
SpicyPizza,409
b0b1618d-705d-4f99-8cc9-7e197cbd6453,313
b90ea07e-cf88-4b25-80b4-85d903c1c5ec,283
hasSpiciness,114
05ff1ff6-ae15-483b-8207-d49a5cffaffe,293
eab5308a-f423-4396-8324-6e8c4b576330,317
OnionTopping,1205435
HotSpicedBeefTopping,3825745
hasTopping,2897125
VegetarianTopping,367
HamTopping,490105
Country,181
FruttiDiMare,48877885
Germany,543
b4d2856b-c63a-4fba-b629-66ace0d968c2,331
d400bae2-e267-42bc-84a0-a69b6b164316,127
GarlicTopping,7077455
3474e449-d9d3-419c-8ff4-70c517a71c9c,349
PizzaBase,1855
FishTopping,6545
GreenPepperTopping,72314165
PineKernels,4790555
DeepPanBase,109445
ArtichokeTopping,7316155
4a6a1545-62bd-4a9e-94ec-93e649e3986c,347
PeperoniSausageTopping,3811115
ParmaHamTopping,34797455
f7cb7efa-203b-4ca3-9a78-4c803d1ab50d,337
44c53aa4-c37e-4c06-8cd9-10edf0a04650,211
Cajun,54395215
VegetableTopping,11935
Food,35
SauceTopping,5005
4027005d-0890-4f5c-a6da-a3237ddc5868,193
LaReine,57224615
Giardiniera,51848755
hasIngredient,8575
34735348-cbae-4f21-9046-c60cd6a78d02,223
Capricciosa,55668445
ThinAndCrispyPizza,373
SpicyTopping,359
4fcf453d-6c1a-4cfb-8cd4-a39d3c44d289,167
ea4bdf78-0ce8-4694-aed4-086c3445ee4c,353
Napoletana,48312005
MixedSeafoodTopping,3213595
hasCountryOfOrigin,2
isBaseOf,30709525
SultanaTopping,9159535
Fiorentina,53829335
0ac8e988-a5b8-446d-bf0a-2f4a2c59230f,401
NutTopping,8855
hasBase,8375325
MozzarellaTopping,6285895
England,905
AsparagusTopping,7387765
da6b5cd4-017b-486a-83fb-72c99ee4a919,277
SweetPepperTopping,77541695
9eb71d1e-c926-4ebd-af2b-d78149d48f69,257
NamedPizza,70735
345831ed-03cd-47f2-9326-9256e2c153bd,457
VegetarianPizzaEquivalent2,137
VegetarianPizzaEquivalent1,419
JalapenoPepperTopping,84511735
72ce544b-f0a4-4ffc-a2a0-8087dbe4d63a,379
PizzaTopping,385
3e0447ce-8e62-43d6-b874-ecf6b0558417,271
2787eeac-8a77-4ffb-8caf-cbaeb51e0d89,157
TomatoTopping,1277045
SlicedTomatoTopping,139197905
a3f4102e-338d-4eb5-b6d3-eea780137223,389
2fd4233e-416d-4646-80a7-8e19b1e544be,431
PrinceCarlo,52273165
France,794
InterestingPizza,227
Rosa,51424345
GorgonzolaTopping,6352885
QuattroFormaggi,50858465
886fefe7-a893-4a57-a044-44a11d50e972,173
OliveTopping,7005845
LeekTopping,7149065
RedOnionTopping,124159805
RosemaryTopping,10307605
Mushroom,46755835
dfcf4c6c-76bd-4959-bc43-6c5325f83406,311
Veneziana,57366085
Soho,49585235
AmericanHot,50151115
cfb01521-6443-4138-9e97-42bbbe28d789,131
isToppingOf,9850225
496833e1-0e85-45eb-ba8d-2453a084b1b0,239
TobascoPepperSauce,2437435
Medium,2778
isIngredientOf,15925
FourSeasons,58073435
RocketTopping,7650335
DomainConcept,5
Parmense,54678155
3ff9460b-4715-41d9-9464-8eca64c66975,307
PetitPoisTopping,7244545
ValuePartition,2
AnchoviesTopping,3292135
SundriedTomatoTopping,144306085
PeperonataTopping,68829145
http://www.w3.org/2002/07/owl#Thing,397
CajunSpiceTopping,10212895
NonVegetarianPizza,443
SpinachTopping,7530985
344b8d74-a9e7-47b2-87ca-18aa1edb8f9a,281
GoatsCheeseTopping,6375215
Pizza,1505
Caprina,53546395
1b695ac9-01f1-4f37-8604-07b959180707,179
a77f86d0-e4cd-43b3-8e1c-d57912d61efc,433
HotGreenPepperTopping,-614984349
PolloAdAstra,47887595
881b3834-61aa-41dc-92ea-2e5b2ffa31c6,251
